text,true_label,predicted_label,error_type
Em ăn hoành thánh sáng bị khó chịu mắc ói quá bỏ ăn trưa luôn. Các thím thường hay uống gì cho đỡ vậy? Em tính làm gói gừng pha uống,CLEAN,HATE,CLEAN → HATE
thím chắc khoảng u35 đúng ko ? mấy chuyện này bực ko giải quyết gì đâu . nhiều khi cũng là 1 phép thử thôi ! thím sau này biết phải làm gì rồi đó !,CLEAN,HATE,CLEAN → HATE
"Quan trọng là năm nay có tham gia những lễ hội có tính chất, quy mô và bối cảnh y hệt vậy không? Chứ tôi nói thật, dù ở bất cứ đâu mà tập trung đông đến mức không tiến không lùi như này được thì đều n",CLEAN,HATE,CLEAN → HATE
Còn phải tốn hơn nữa mới được,CLEAN,HATE,CLEAN → HATE
Mình k có ý kích dục fen nhé :v Có sao kể vậy thôi.,CLEAN,HATE,CLEAN → HATE
Này là lúc trước khi gặp P hả bác? Em thắc mắc là bác có thể thẳng thừng chặn C - người bác yêu như vậy à?,CLEAN,HATE,CLEAN → HATE
"Thì mượt hơn là đúng thôi. Mới phát triển thì không có nhiều tính năng, không có nhiều app thì chả mượt",CLEAN,HATE,CLEAN → HATE
"Tôi thì thấy con gái tên Trang, Hiền là thường cuộc sống k dc êm đềm.",CLEAN,HATE,CLEAN → HATE
"Dogayer skin care, chăm da kỹ lắm. U50 đổ bao tiền vô để da trắng mịn như 30, xước tí là đau khổ vật vã lắm",CLEAN,HATE,CLEAN → HATE
Chiêm nghiệm hay vc,CLEAN,HATE,CLEAN → HATE
"Mạt thật, đi khen giọng Edick với đức fuc thì chịu",CLEAN,HATE,CLEAN → HATE
Đẹp phết nhỉ.,CLEAN,HATE,CLEAN → HATE
Trong cái comment bác viết có từ bị cấm hay sao ấy.,CLEAN,HATE,CLEAN → HATE
"Mình block rồi fen :v Mỗi lần chia tay là mình cắt đứt mọi liên hệ. Mình block ai sẽ không bao giờ gỡ, trừ Y. Phải lần mò trong danh sách bạn chung, đối chiếu tên cả tiếng mới tìm được, có vẻ là FB mớ",CLEAN,HATE,CLEAN → HATE
Mấy năm nay có phong trào [Nói thẳng] trên Voz thì phải . Chục năm trc chắc ae trên này toàn nói không thẳng với nhau mất rồi .,CLEAN,HATE,CLEAN → HATE
"Hắn block Line, xóa Tinder, block sdt của Ly. Ly là mối Tinder duy nhất hắn cho sdt.",CLEAN,HATE,CLEAN → HATE
Vĩnh biệt Anh!!!,CLEAN,HATE,CLEAN → HATE
Chỗ cũ giá thuê tính theo kiểu bao cấp tháng trả trăm bạc là có chỗ chui ra chui vào ở giữa trung tâm thành phố. Chỗ mới đẹp thật nhưng tính theo giá bây giờ thì mỗi trả tháng 4 5 củ. Mấy khu đấy thì ,CLEAN,HATE,CLEAN → HATE
chuẩn bị cưới,CLEAN,HATE,CLEAN → HATE
Vậy là chạy bằng cảm giác thôi nhỉ,CLEAN,HATE,CLEAN → HATE
bà này có thời thôi chứ tướng tá nhìn phèn chết đi được. Baby hay Dương Mịch mới gọi là vừa đẹp vừa sang tao nhã,CLEAN,HATE,CLEAN → HATE
"đó là mấy gà thấy ham rẻ thì mua. đồ xịn thì nó cũng phải gần củ với hơn củ. mua bình nước mà mua cái rởm, nó ngấm vào người thì mấy mà toi",CLEAN,HATE,CLEAN → HATE
Chảo chống dính rửa bình thường. Đũa gỗ đũa tre cũng rửa bình thường nhưng sau 2-3 tháng là vứt vì lớp phủ trên đũa đi tong hết vì bị ngâm nước nóng.,CLEAN,HATE,CLEAN → HATE
"Biết sai sửa sai, biết điểm dừng là được",CLEAN,HATE,CLEAN → HATE
"Như tiêu đề, em không biết phải xử lý sao với nó nữa đây các bác",CLEAN,HATE,CLEAN → HATE
sakhanay túc tiệp túc tiệp,CLEAN,HATE,CLEAN → HATE
"Mùa này Real yếu so với lúc đỉnh của họ thôi, chứ đẳng cấp của những Ben, Kross, Modric, Caseimiro, Courtois, Alaba.... là ở top TG rồi. Họ may thì tất nhiên có, có nhiều, nhưng ko thể phủ nhận họ hay",CLEAN,HATE,CLEAN → HATE
