text,true_label,predicted_label,error_type
bà này có thời thôi chứ tướng tá nhìn phèn chết đi được. Baby hay Dương Mịch mới gọi là vừa đẹp vừa sang tao nhã,CLEAN,HATE,CLEAN → HATE
"đó là mấy gà thấy ham rẻ thì mua. đồ xịn thì nó cũng phải gần củ với hơn củ. mua bình nước mà mua cái rởm, nó ngấm vào người thì mấy mà toi",CLEAN,HATE,CLEAN → HATE
"phải tôi từ lúc thấy cái vú như cái bát xề xòa, lol lông rậm như amazon đút vào k đáy thì tôi bỏ về cmnl rồi chơi gái mà như này thì",CLEAN,HATE,CLEAN → HATE
"ủa thằng Mukilele của PSG đâu r giờ ko thấy nữa nhỉ thằng đó có vẻ đỡ bóp hơn,còn Pembele trẻ măng với cái thằng 23 cao ngồng mà vụng v kl nữa",CLEAN,HATE,CLEAN → HATE
D.M các ông có thể giải thích cho tôi về thằng PSG được không.,CLEAN,HATE,CLEAN → HATE
"Chỉ đạo mồm: 2% giá trị khoản vay, còn không lựa lý do để từ chối hồ sơ",CLEAN,HATE,CLEAN → HATE
"Thôi cũng kiếm đc 5 tỏi cho gia đình, bằng cả đời làm culi rồi, kiếm tạm cái góc nào rồi reset để tiền cho bố mẹ mà báo hiếu. Họ đẻ phải thằng con ngu đã khổ rồi còn bắt họ hầu hạ bên giường bệnh nữa",CLEAN,HATE,CLEAN → HATE
"nhưng phân khúc 500cc scrambler thì thực sự ở VN nó chưa có đối thủ nào (rộng ra cả thế giới thì cũng đại loại thế), có Royal Enfield scram 411 thì bị chê Ấn **",CLEAN,HATE,CLEAN → HATE
"Nhắc lại: Cái j cũng có giá của nó. Éo có cái j là free cả. Có đuôi là ưu điểm khi anh sống trên cây, nhưng khi anh toàn đi lại dưới đất thì đấy là khuyết điểm rồi. Và thực ra thì loài người vẫn có ge",CLEAN,HATE,CLEAN → HATE
Thớt chỉ nói là hôi thôi chứ nó không nói là thúi. Nên nó vẫn còn lịch sự chán. Thứ Troll ghẻ ngu học không sõi tiếng việt mà còn bày đặt lên mặt. Còn đếch biết các cấp độ khi dùng từ,OFFENSIVE,HATE,OFFENSIVE → HATE
Không thích cò lắm nhưng khôn như này thì điếm thúi quá.,OFFENSIVE,HATE,OFFENSIVE → HATE
"Bạn so sánh như như cớt ấy. Bản chất so sánh là phải có 2 cái cùng giống nhau về bản chất mới so sánh được, đằng này:",OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
Con cẩu nô bày,OFFENSIVE,HATE,OFFENSIVE → HATE
đcm mấy thằng chim ngắn phung phí cơ hội,OFFENSIVE,HATE,OFFENSIVE → HATE
"Sau này bọn page 1 ăn mì tôm sẽ đéo bao giờ có gói gia vị, tao nguyền rủa",OFFENSIVE,HATE,OFFENSIVE → HATE
"Thằng rách tốt đẹp gì, ở đây vẫn gọi nó là rách 5 củ, căn bản nó éo có cái gì để dìm thêm nữa, rác vẫn rác nhưng có 1 thằng bới rác thành rác cùng luôn là Cường nên người ta chửi thằng cha phông bạt k",OFFENSIVE,HATE,OFFENSIVE → HATE
Chương 21: Chuyện thằng K,OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
"thách thức KH, coi KH là những con suxvat hạ đẳng ngu như bò, chữ cũng đéo biết đọc để sale BH lừa, sale BH là giống loài thượng đẳng",OFFENSIVE,HATE,OFFENSIVE → HATE
Tham lại còn ngu,OFFENSIVE,HATE,OFFENSIVE → HATE
"bọn Hồi giáo đấu tranh lúc nào cũng dính tới ""hành quyết"" man rợ, đã man rợ còn ghi lại hình ảnh tuyên truyền kiểu mất nhân tính thì sao mà giành được sự ủng hộ rộng rãi của quốc tế dc.",OFFENSIVE,HATE,OFFENSIVE → HATE
Đó lòi bản chất rồi kia. Nói thiệt vô mấy 2 pic cafe gặp mấy thằng nhại nhại chê bai rồi lôi 1 cái cafe tây lol ra là biết bài của chúng nó ),OFFENSIVE,HATE,OFFENSIVE → HATE
"Dis mẹ thằng thần kinh này. Hiện tại ô tô bị coi là ""nguồn nguy hiểm cao độ"" rồi, cứ tội vạ đúng sai gì cũng bị đè ra đấm rồi, chưa hài lòng mày hả ? Giờ tao chạy đúng luật, đúng làn, đúng tất cả mọi ",OFFENSIVE,HATE,OFFENSIVE → HATE
"Ngu thì thua, sai ở đâu thì sửa, mà làm lại. Ko bắt tay thì bị chửi kém bản lĩnh, hèn thôi. Cay cú nó đ liên quan lol gì đến việc bắt tay cả.",OFFENSIVE,HATE,OFFENSIVE → HATE
26 27 con c nhé đ-éo tin,OFFENSIVE,HATE,OFFENSIVE → HATE
Thì tùy nick thôi thím. Ngứa mắt quá đôi khi ae cũng méo chịu được. Để ý anti đàn gà tuyệt nhiên ko có ai fan đội nào khác ngoài HN. Anti thì nhận mẹ nó anti đi. Toàn đội lốt fan HN làm éo gì mang tiế,OFFENSIVE,HATE,OFFENSIVE → HATE
dm thằng chồng gu mặn vcl,OFFENSIVE,HATE,OFFENSIVE → HATE
thằng óc chó,OFFENSIVE,HATE,OFFENSIVE → HATE
