text,true_label,predicted_label,error_type
Không thích cò lắm nhưng khôn như này thì điếm thúi quá.,OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
"Bạn so sánh như như cớt ấy. Bản chất so sánh là phải có 2 cái cùng giống nhau về bản chất mới so sánh được, đằng này:",OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
"Sau này bọn page 1 ăn mì tôm sẽ đéo bao giờ có gói gia vị, tao nguyền rủa",OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
Tham lại còn ngu,OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
Đó lòi bản chất rồi kia. Nói thiệt vô mấy 2 pic cafe gặp mấy thằng nhại nhại chê bai rồi lôi 1 cái cafe tây lol ra là biết bài của chúng nó ),OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
"Ngu thì thua, sai ở đâu thì sửa, mà làm lại. Ko bắt tay thì bị chửi kém bản lĩnh, hèn thôi. Cay cú nó đ liên quan lol gì đến việc bắt tay cả.",OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
26 27 con c nhé đ-éo tin,OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
dm thằng chồng gu mặn vcl,OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
@tuanbe1999 nó nói xấu fence nè. Gạch vỡ mõm nó đi,OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
"Chơi ngu rồi, động đến tôn giáo thì chuẩn bị tù thôi",OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
"đùa, cái shop thế mà cũng bảo chính hãng, vả vỡ alo nó đi. ra trung tâm thương mại, hay cửa hàng chính hãng mà mua.",OFFENSIVE,CLEAN,OFFENSIVE → CLEAN
Thớt chỉ nói là hôi thôi chứ nó không nói là thúi. Nên nó vẫn còn lịch sự chán. Thứ Troll ghẻ ngu học không sõi tiếng việt mà còn bày đặt lên mặt. Còn đếch biết các cấp độ khi dùng từ,HATE,OFFENSIVE,HATE → OFFENSIVE
Không thích cò lắm nhưng khôn như này thì điếm thúi quá.,HATE,CLEAN,HATE → CLEAN
"Bạn so sánh như như cớt ấy. Bản chất so sánh là phải có 2 cái cùng giống nhau về bản chất mới so sánh được, đằng này:",HATE,CLEAN,HATE → CLEAN
Con cẩu nô bày,HATE,OFFENSIVE,HATE → OFFENSIVE
đcm mấy thằng chim ngắn phung phí cơ hội,HATE,OFFENSIVE,HATE → OFFENSIVE
"Sau này bọn page 1 ăn mì tôm sẽ đéo bao giờ có gói gia vị, tao nguyền rủa",HATE,CLEAN,HATE → CLEAN
"Thằng rách tốt đẹp gì, ở đây vẫn gọi nó là rách 5 củ, căn bản nó éo có cái gì để dìm thêm nữa, rác vẫn rác nhưng có 1 thằng bới rác thành rác cùng luôn là Cường nên người ta chửi thằng cha phông bạt k",HATE,OFFENSIVE,HATE → OFFENSIVE
Chương 21: Chuyện thằng K,HATE,OFFENSIVE,HATE → OFFENSIVE
"thách thức KH, coi KH là những con suxvat hạ đẳng ngu như bò, chữ cũng đéo biết đọc để sale BH lừa, sale BH là giống loài thượng đẳng",HATE,OFFENSIVE,HATE → OFFENSIVE
Tham lại còn ngu,HATE,CLEAN,HATE → CLEAN
"bọn Hồi giáo đấu tranh lúc nào cũng dính tới ""hành quyết"" man rợ, đã man rợ còn ghi lại hình ảnh tuyên truyền kiểu mất nhân tính thì sao mà giành được sự ủng hộ rộng rãi của quốc tế dc.",HATE,OFFENSIVE,HATE → OFFENSIVE
Đó lòi bản chất rồi kia. Nói thiệt vô mấy 2 pic cafe gặp mấy thằng nhại nhại chê bai rồi lôi 1 cái cafe tây lol ra là biết bài của chúng nó ),HATE,CLEAN,HATE → CLEAN
"Dis mẹ thằng thần kinh này. Hiện tại ô tô bị coi là ""nguồn nguy hiểm cao độ"" rồi, cứ tội vạ đúng sai gì cũng bị đè ra đấm rồi, chưa hài lòng mày hả ? Giờ tao chạy đúng luật, đúng làn, đúng tất cả mọi ",HATE,OFFENSIVE,HATE → OFFENSIVE
"Ngu thì thua, sai ở đâu thì sửa, mà làm lại. Ko bắt tay thì bị chửi kém bản lĩnh, hèn thôi. Cay cú nó đ liên quan lol gì đến việc bắt tay cả.",HATE,CLEAN,HATE → CLEAN
26 27 con c nhé đ-éo tin,HATE,CLEAN,HATE → CLEAN
Thì tùy nick thôi thím. Ngứa mắt quá đôi khi ae cũng méo chịu được. Để ý anti đàn gà tuyệt nhiên ko có ai fan đội nào khác ngoài HN. Anti thì nhận mẹ nó anti đi. Toàn đội lốt fan HN làm éo gì mang tiế,HATE,OFFENSIVE,HATE → OFFENSIVE
dm thằng chồng gu mặn vcl,HATE,CLEAN,HATE → CLEAN
thằng óc chó,HATE,OFFENSIVE,HATE → OFFENSIVE
"đúng là vozer, nhiều thằng sống ngu và ích kỷ vcl, nếu như người yêu nó cần 1 trái thận, lúc đó bản thân suy nghĩ tính toán thì ok, này chạy xe có 40km mà tính toán chi ly, mua cái váy mà mặc đi",HATE,OFFENSIVE,HATE → OFFENSIVE
@tuanbe1999 nó nói xấu fence nè. Gạch vỡ mõm nó đi,HATE,CLEAN,HATE → CLEAN
"Khác mẹ gì tàu khựa, bơm tiền cho đám NGO woke đi biểu tình phá lại bọn tây lông thôi. Chó chê mèo lắm lông. À mà acc Emma Roberts bị ban rồi à mày",HATE,OFFENSIVE,HATE → OFFENSIVE
"Chơi ngu rồi, động đến tôn giáo thì chuẩn bị tù thôi",HATE,CLEAN,HATE → CLEAN
